"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 03 04:30:54 UTC 2023","Mon Jul 03 04:30:57 UTC 2023","3138","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Mon Jul 03 04:19:18 UTC 2023","Mon Jul 03 04:19:43 UTC 2023","24463","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Mon Jul 03 04:33:30 UTC 2023","Mon Jul 03 04:34:40 UTC 2023","69991","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Mon Jul 03 04:12:45 UTC 2023","Mon Jul 03 04:12:49 UTC 2023","3902","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Mon Jul 03 04:20:35 UTC 2023","Mon Jul 03 04:20:47 UTC 2023","12128","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Mon Jul 03 04:45:32 UTC 2023","Mon Jul 03 04:45:48 UTC 2023","15187","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Mon Jul 03 04:12:49 UTC 2023","Mon Jul 03 04:12:53 UTC 2023","4088","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Mon Jul 03 04:30:50 UTC 2023","Mon Jul 03 04:31:07 UTC 2023","17541","","6. Company Account","","","","1. Validate login credentials",""
"passed","Mon Jul 03 04:12:53 UTC 2023","Mon Jul 03 04:13:00 UTC 2023","6510","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Mon Jul 03 04:40:29 UTC 2023","Mon Jul 03 04:40:30 UTC 2023","941","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Mon Jul 03 04:29:37 UTC 2023","Mon Jul 03 04:29:55 UTC 2023","18073","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
